i value,Gravity X,Gravity Y,Gravity Z,Lift X,Lift Y,Lift Z,Drag X,Drag Y,Drag Z,Magnus X,Magnus Y,Magnus Z 
1 , 0 , -1.71675 , 0 , -0.364591495088 , 1.70142697708 , -0.315226229107 , -0.928714819093 , -0.199010318377 , -0.0 , 0 , 0 , 0
2 , 0 , -1.71675 , 0 , -0.363327005522 , 1.69162468154 , -0.309298601198 , -0.922924195679 , -0.198007310003 , 0.00119377071493 , 0 , 0 , 0
3 , 0 , -1.71675 , 0 , -0.362820109727 , 1.68582362958 , -0.299618405886 , -0.918908760875 , -0.197346057714 , 0.00236277256865 , 0 , 0 , 0
4 , 0 , -1.71675 , 0 , -0.362968389569 , 1.68350065611 , -0.285380105066 , -0.916396007627 , -0.196985003688 , 0.00349849245445 , 0 , 0 , 0
5 , 0 , -1.71675 , 0 , -0.363352416332 , 1.68269240446 , -0.265927522373 , -0.914387559594 , -0.196723958022 , 0.00458402836063 , 0 , 0 , 0
6 , 0 , -1.71675 , 0 , -0.363410021997 , 1.68080078964 , -0.242350773337 , -0.911666845332 , -0.196307188101 , 0.00559351028641 , 0 , 0 , 0
7 , 0 , -1.71675 , 0 , -0.363285341204 , 1.6784556983 , -0.218808915314 , -0.908923700305 , -0.195878540591 , 0.00651346387108 , 0 , 0 , 0
8 , 0 , -1.71675 , 0 , -0.362756706343 , 1.67446627932 , -0.19932732444 , -0.905752074393 , -0.195348515244 , 0.0073403773534 , 0 , 0 , 0
9 , 0 , -1.71675 , 0 , -0.361972455221 , 1.66942444283 , -0.185468504579 , -0.902489904327 , -0.19478316002 , 0.00809149831883 , 0 , 0 , 0
10 , 0 , -1.71675 , 0 , -0.360727423564 , 1.66234419392 , -0.176662851565 , -0.898476002136 , -0.194035352583 , 0.00878165154111 , 0 , 0 , 0
11 , 0 , -1.71675 , 0 , -0.358938283841 , 1.65287897116 , -0.171987729031 , -0.893403505888 , -0.193030283632 , 0.0094252338703 , 0 , 0 , 0
12 , 0 , -1.71675 , 0 , -0.356715830091 , 1.64159749001 , -0.170832412754 , -0.887524741283 , -0.191812676832 , 0.0100385866177 , 0 , 0 , 0
13 , 0 , -1.71675 , 0 , -0.354156562233 , 1.62897539558 , -0.172890126946 , -0.881080448821 , -0.190427375062 , 0.0106363169324 , 0 , 0 , 0
14 , 0 , -1.71675 , 0 , -0.351318635432 , 1.61528602112 , -0.178034867246 , -0.874223272025 , -0.188902370805 , 0.0112313284698 , 0 , 0 , 0
15 , 0 , -1.71675 , 0 , -0.348265979352 , 1.60081601525 , -0.186166137503 , -0.867128256628 , -0.187271797136 , 0.0118366287622 , 0 , 0 , 0
16 , 0 , -1.71675 , 0 , -0.345102467921 , 1.58603489999 , -0.197010658731 , -0.860075334033 , -0.185593675602 , 0.0124667044299 , 0 , 0 , 0
17 , 0 , -1.71675 , 0 , -0.341909409734 , 1.57131882508 , -0.209908526959 , -0.853268956053 , -0.183911511215 , 0.0131346040479 , 0 , 0 , 0
18 , 0 , -1.71675 , 0 , -0.338645851995 , 1.55650672755 , -0.223744212709 , -0.846561051757 , -0.182194190299 , 0.0138457468031 , 0 , 0 , 0
19 , 0 , -1.71675 , 0 , -0.335284915831 , 1.5415423341 , -0.237225113054 , -0.839824846445 , -0.180414678063 , 0.0146010638632 , 0 , 0 , 0
20 , 0 , -1.71675 , 0 , -0.331891136658 , 1.52681138417 , -0.249240454066 , -0.833176286655 , -0.178597956444 , 0.0154005165088 , 0 , 0 , 0
21 , 0 , -1.71675 , 0 , -0.328495381967 , 1.51253179318 , -0.259027653077 , -0.826645926024 , -0.176752042595 , 0.0162387499406 , 0 , 0 , 0
22 , 0 , -1.71675 , 0 , -0.325143680062 , 1.49897001526 , -0.266273506502 , -0.820327616368 , -0.174899185675 , 0.0171091186729 , 0 , 0 , 0
23 , 0 , -1.71675 , 0 , -0.321907121517 , 1.48648213166 , -0.271031471109 , -0.814407856496 , -0.173082045848 , 0.0180064711385 , 0 , 0 , 0
24 , 0 , -1.71675 , 0 , -0.318811797989 , 1.47519311592 , -0.273502048406 , -0.808963619113 , -0.171320808083 , 0.0189244257912 , 0 , 0 , 0
25 , 0 , -1.71675 , 0 , -0.3158358884 , 1.46499951377 , -0.273871902821 , -0.803946021787 , -0.169609155242 , 0.0198548153397 , 0 , 0 , 0
26 , 0 , -1.71675 , 0 , -0.312943606462 , 1.45574278775 , -0.272237542627 , -0.799270222695 , -0.167932778525 , 0.0207891050135 , 0 , 0 , 0
27 , 0 , -1.71675 , 0 , -0.310105706243 , 1.44731486189 , -0.268566275351 , -0.794871452764 , -0.166281096126 , 0.0217193001971 , 0 , 0 , 0
28 , 0 , -1.71675 , 0 , -0.307303426293 , 1.43968312589 , -0.262672343021 , -0.790717900176 , -0.164650093467 , 0.0226379322862 , 0 , 0 , 0
29 , 0 , -1.71675 , 0 , -0.304520437817 , 1.43285566353 , -0.254213148832 , -0.786792609968 , -0.163038738057 , 0.0235371415133 , 0 , 0 , 0
30 , 0 , -1.71675 , 0 , -0.301711076649 , 1.42672367425 , -0.242736641438 , -0.783008209944 , -0.161431496514 , 0.0244055127668 , 0 , 0 , 0
31 , 0 , -1.71675 , 0 , -0.298726086565 , 1.42067125084 , -0.227873558498 , -0.778991441703 , -0.159754086426 , 0.0252202453665 , 0 , 0 , 0
32 , 0 , -1.71675 , 0 , -0.295314568107 , 1.41348993342 , -0.209895292207 , -0.774074568204 , -0.157871409052 , 0.025945552495 , 0 , 0 , 0
33 , 0 , -1.71675 , 0 , -0.291470764047 , 1.4049296445 , -0.190517501861 , -0.768295915831 , -0.155790051665 , 0.0265683501448 , 0 , 0 , 0
