Iteration, X position,Y position,Z position,X Velocity,Y Velocity,Z Velocity,Alpha,Phi,Omega 
0.000000 , 0.001000 , 0.001000 ,-1.000000 , 13.624548 ,0.000000 , -1.435858 ,11.000790 , 0.000000 ,50.000000 
1.000000 , 0.068994 , 0.001000 ,-1.007278 , 13.573129 ,0.000011 , -1.474819 ,10.959121 , 0.021657 ,49.964200 
2.000000 , 0.136732 , 0.001000 ,-1.014744 , 13.522253 ,0.000100 , -1.511463 ,10.854058 , 0.105968 ,49.912424 
3.000000 , 0.204218 , 0.001001 ,-1.022388 , 13.471998 ,0.000373 , -1.545609 ,10.720787 , 0.268807 ,49.857661 
4.000000 , 0.271453 , 0.001004 ,-1.030196 , 13.422373 ,0.000935 , -1.577294 ,10.593609 , 0.508085 ,49.810506 
5.000000 , 0.338442 , 0.001011 ,-1.038157 , 13.373337 ,0.001871 , -1.606733 ,10.499617 , 0.807506 ,49.777558 
6.000000 , 0.405187 , 0.001024 ,-1.046260 , 13.324807 ,0.003233 , -1.634257 ,10.454138 , 1.142125 ,49.761120 
7.000000 , 0.471691 , 0.001044 ,-1.054497 , 13.276691 ,0.005036 , -1.660231 ,10.460224 , 1.485071 ,49.760138 
8.000000 , 0.537955 , 0.001075 ,-1.062861 , 13.228901 ,0.007267 , -1.684986 ,10.509863 , 1.812956 ,49.771036 
9.000000 , 0.603980 , 0.001118 ,-1.071345 , 13.181371 ,0.009887 , -1.708770 ,10.587840 , 2.110086 ,49.788822 
10.000000 , 0.669769 , 0.001174 ,-1.079947 , 13.134068 ,0.012844 , -1.731723 ,10.675742 , 2.369844 ,49.807936 
11.000000 , 0.735322 , 0.001247 ,-1.088661 , 13.086988 ,0.016083 , -1.753875 ,10.756439 , 2.594844 ,49.823389 
12.000000 , 0.800639 , 0.001336 ,-1.097484 , 13.040154 ,0.019555 , -1.775176 ,10.816631 , 2.794369 ,49.831465 
13.000000 , 0.865724 , 0.001442 ,-1.106412 , 12.993605 ,0.023223 , -1.795516 ,10.850073 , 2.981895 ,49.830757 
14.000000 , 0.930576 , 0.001568 ,-1.115438 , 12.947386 ,0.027067 , -1.814777 ,10.856387 , 3.171143 ,49.821800 
15.000000 , 0.995198 , 0.001713 ,-1.124557 , 12.901536 ,0.031086 , -1.832864 ,10.840877 , 3.373518 ,49.806876 
16.000000 , 1.059592 , 0.001879 ,-1.133764 , 12.856079 ,0.035288 , -1.849720 ,10.812254 , 3.596114 ,49.789127 
17.000000 , 1.123759 , 0.002067 ,-1.143052 , 12.811024 ,0.039690 , -1.865346 ,10.780461 , 3.841060 ,49.771755 
18.000000 , 1.187703 , 0.002277 ,-1.152416 , 12.766362 ,0.044311 , -1.879793 ,10.754348 , 4.105778 ,49.757293 
19.000000 , 1.251424 , 0.002510 ,-1.161849 , 12.722075 ,0.049166 , -1.893149 ,10.740275 , 4.384357 ,49.747293 
20.000000 , 1.314924 , 0.002769 ,-1.171346 , 12.678133 ,0.054266 , -1.905524 ,10.741007 , 4.669169 ,49.742135 
21.000000 , 1.378206 , 0.003053 ,-1.180902 , 12.634508 ,0.059612 , -1.917028 ,10.755954 , 4.952738 ,49.741244 
22.000000 , 1.441270 , 0.003365 ,-1.190515 , 12.591176 ,0.065199 , -1.927756 ,10.781748 , 5.229108 ,49.743320 
23.000000 , 1.504118 , 0.003706 ,-1.200179 , 12.548120 ,0.071014 , -1.937776 ,10.813351 , 5.494817 ,49.746694 
24.000000 , 1.566751 , 0.004076 ,-1.209891 , 12.505331 ,0.077043 , -1.947126 ,10.845406 , 5.749160 ,49.749717 
25.000000 , 1.629172 , 0.004476 ,-1.219649 , 12.462810 ,0.083267 , -1.955818 ,10.873205 , 5.993868 ,49.751031 
26.000000 , 1.691380 , 0.004909 ,-1.229448 , 12.420562 ,0.089672 , -1.963842 ,10.893679 , 6.232356 ,49.749845 
27.000000 , 1.753378 , 0.005373 ,-1.239286 , 12.378599 ,0.096244 , -1.971180 ,10.905819 , 6.468834 ,49.746041 
28.000000 , 1.815166 , 0.005871 ,-1.249159 , 12.336928 ,0.102976 , -1.977813 ,10.910346 , 6.707173 ,49.740027 
29.000000 , 1.876747 , 0.006403 ,-1.259063 , 12.295558 ,0.109864 , -1.983731 ,10.909468 , 6.950282 ,49.732630 
30.000000 , 1.938122 , 0.006970 ,-1.268995 , 12.254488 ,0.116909 , -1.988938 ,10.906142 , 7.199586 ,49.724833 
31.000000 , 1.999293 , 0.007573 ,-1.278951 , 12.213718 ,0.124111 , -1.993451 ,10.903393 , 7.455003 ,49.717562 
32.000000 , 2.060260 , 0.008212 ,-1.288929 , 12.173240 ,0.131475 , -1.997303 ,10.903687 , 7.715137 ,49.711498 
33.000000 , 2.121026 , 0.008888 ,-1.298923 , 12.133044 ,0.139004 , -2.000531 ,10.908540 , 7.977765 ,49.706991 
34.000000 , 2.181591 , 0.009602 ,-1.308933 , 12.093120 ,0.146698 , -2.003178 ,10.918305 , 8.240372 ,49.704028 
35.000000 , 2.241957 , 0.010355 ,-1.318954 , 12.053456 ,0.154557 , -2.005284 ,10.932339 , 8.500725 ,49.702305 
36.000000 , 2.302126 , 0.011148 ,-1.328985 , 12.014043 ,0.162578 , -2.006882 ,10.949243 , 8.757215 ,49.701320 
37.000000 , 2.362098 , 0.011981 ,-1.339022 , 11.974877 ,0.170754 , -2.007996 ,10.967282 , 9.009151 ,49.700507 
38.000000 , 2.421875 , 0.012856 ,-1.349064 , 11.935954 ,0.179080 , -2.008642 ,10.984729 , 9.256656 ,49.699339 
39.000000 , 2.481458 , 0.013772 ,-1.359108 , 11.897272 ,0.187548 , -2.008828 ,11.000319 , 9.500620 ,49.697462 
40.000000 , 2.540848 , 0.014731 ,-1.369152 , 11.858832 ,0.196152 , -2.008557 ,11.013303 , 9.742328 ,49.694699 
41.000000 , 2.600047 , 0.015734 ,-1.379193 , 11.820635 ,0.204887 , -2.007829 ,11.023662 , 9.983138 ,49.691102 
42.000000 , 2.659055 , 0.016780 ,-1.389229 , 11.782682 ,0.213749 , -2.006648 ,11.031910 , 10.224236 ,49.686885 
43.000000 , 2.717874 , 0.017871 ,-1.399258 , 11.744973 ,0.222735 , -2.005018 ,11.038957 , 10.466344 ,49.682361 
44.000000 , 2.776505 , 0.019008 ,-1.409279 , 11.707504 ,0.231843 , -2.002949 ,11.045874 , 10.709678 ,49.677872 
45.000000 , 2.834949 , 0.020190 ,-1.419287 , 11.670274 ,0.241074 , -2.000456 ,11.053616 , 10.953956 ,49.673701 
46.000000 , 2.893208 , 0.021419 ,-1.429282 , 11.633276 ,0.250428 , -1.997554 ,11.062896 , 11.198509 ,49.670039 
47.000000 , 2.951283 , 0.022695 ,-1.439262 , 11.596507 ,0.259905 , -1.994263 ,11.074116 , 11.442486 ,49.666974 
48.000000 , 3.009174 , 0.024018 ,-1.449224 , 11.559960 ,0.269503 , -1.990602 ,11.087134 , 11.684991 ,49.664420 
49.000000 , 3.066883 , 0.025390 ,-1.459168 , 11.523630 ,0.279222 , -1.986587 ,11.101587 , 11.925317 ,49.662232 
50.000000 , 3.124410 , 0.026811 ,-1.469090 , 11.487514 ,0.289059 , -1.982233 ,11.116903 , 12.163048 ,49.660215 
51.000000 , 3.181758 , 0.028281 ,-1.478989 , 11.451609 ,0.299011 , -1.977552 ,11.132442 , 12.398100 ,49.658162 
52.000000 , 3.238927 , 0.029801 ,-1.488865 , 11.415912 ,0.309074 , -1.972550 ,11.147638 , 12.630645 ,49.655901 
53.000000 , 3.295918 , 0.031372 ,-1.498714 , 11.380422 ,0.319245 , -1.967234 ,11.162149 , 12.861101 ,49.653342 
54.000000 , 3.352731 , 0.032993 ,-1.508537 , 11.345138 ,0.329521 , -1.961610 ,11.175815 , 13.089965 ,49.650453 
55.000000 , 3.409369 , 0.034667 ,-1.518330 , 11.310058 ,0.339899 , -1.955680 ,11.188746 , 13.317707 ,49.647287 
56.000000 , 3.465832 , 0.036393 ,-1.528093 , 11.275181 ,0.350377 , -1.949451 ,11.201233 , 13.544673 ,49.643950 
57.000000 , 3.522121 , 0.038171 ,-1.537824 , 11.240506 ,0.360952 , -1.942928 ,11.213652 , 13.771055 ,49.640568 
58.000000 , 3.578238 , 0.040002 ,-1.547522 , 11.206029 ,0.371625 , -1.936119 ,11.226395 , 13.996800 ,49.637261 
59.000000 , 3.634182 , 0.041887 ,-1.557185 , 11.171749 ,0.382393 , -1.929033 ,11.239794 , 14.221724 ,49.634127 
60.000000 , 3.689955 , 0.043826 ,-1.566812 , 11.137662 ,0.393257 , -1.921679 ,11.254048 , 14.445523 ,49.631215 
61.000000 , 3.745559 , 0.045820 ,-1.576401 , 11.103765 ,0.404215 , -1.914068 ,11.269174 , 14.667860 ,49.628518 
62.000000 , 3.800993 , 0.047869 ,-1.585952 , 11.070055 ,0.415266 , -1.906207 ,11.285122 , 14.888399 ,49.626006 
63.000000 , 3.856260 , 0.049973 ,-1.595463 , 11.036530 ,0.426409 , -1.898107 ,11.301700 , 15.106919 ,49.623608 
64.000000 , 3.911359 , 0.052133 ,-1.604932 , 11.003186 ,0.437642 , -1.889773 ,11.318612 , 15.323345 ,49.621226 
