i value,X position (m),Y position (m), Z position (m) ,        Velocity X, Velocity Y, Velocity Z,        Alpha,Pitch,Angular Velocity Y,        Angular Velocity X, Angular Velocity Z,        Angle of Attack 
0 , 0 , 1 , 0 , 10.8482142857 , -1.65178571429 , 0 , 8 , 0 , 62.8318530718 , 0.0 , 0.0 , 16.7351393853
1 , 0.107625484459 , 0.98402678066 , 0.0 , 10.7625484459 , -1.597321934 , 0.0 , 8.00441076654 , 0.0850936247178 , 62.8318530718 , 8.50936247178 , 0.441076653789 , 16.5240461979
2 , 0.214418582884 , 0.968554369497 , -2.10143435293e-06 , 10.6793098426 , -1.5472411163 , -0.000210143435293 , 8.01222765828 , 0.249141573215 , 62.8318530718 , 16.4047948498 , 0.781689174285 , 16.3339301399
3 , 0.320401525373 , 0.953542429259 , -1.0185960509e-05 , 10.5982942488 , -1.50119402377 , -0.00080845261561 , 8.02227805304 , 0.484821056706 , 62.8318530718 , 23.567948349 , 1.00503947594 , 16.1624746509
4 , 0.425594777007 , 0.938953674528 , -2.96072970207e-05 , 10.5193251634 , -1.4588754731 , -0.00194213365117 , 8.03370082383 , 0.781648992826 , 62.8318530718 , 29.6827936121 , 1.14227707886 , 16.0077959038
5 , 0.530017260013 , 0.924753504148 , -6.68466797549e-05 , 10.4422483006 , -1.42001703805 , -0.00372393827342 , 8.04650523742 , 1.12458964344 , 62.8318530718 , 34.2940650612 , 1.28044135945 , 15.8689984278
6 , 0.633686490959 , 0.910909737744 , -0.000129103799605 , 10.3669230946 , -1.38437664038 , -0.00622571198503 , 8.06145717538 , 1.49416165113 , 62.8318530718 , 36.9572007696 , 1.49519379584 , 15.7460280148
7 , 0.736618652684 , 0.897392439177 , -0.000223831976739 , 10.2932161724 , -1.35172985667 , -0.0094728177134 , 8.07905644559 , 1.86828881393 , 62.8318530718 , 37.4127162799 , 1.75992702123 , 15.6385998185
8 , 0.838828677134 , 0.88417375314 , -0.000358260136963 , 10.2210024451 , -1.32186860372 , -0.0134428160223 , 8.09913459736 , 2.22530936527 , 62.8318530718 , 35.7020551334 , 2.00781517705 , 15.5457996209
9 , 0.940330363448 , 0.871227729522 , -0.000538961898578 , 10.1501686314 , -1.29460236178 , -0.0180701761615 , 8.12161656669 , 2.54685537454 , 62.8318530718 , 32.1546009271 , 2.24819693289 , 15.4668923667
10 , 1.04113647766 , 0.8585301829 , -0.00077152494543 , 10.0806114212 , -1.26975466222 , -0.0232563046852 , 8.14673050887 , 2.81947556105 , 62.8318530718 , 27.2620186513 , 2.51139421778 , 15.4015329685
11 , 1.14125882232 , 0.84605859044 , -0.00106034316213 , 10.0122344655 , -1.24715924596 , -0.02888182167 , 8.17442254455 , 3.0347298262 , 62.8318530718 , 21.5254265145 , 2.76920356782 , 15.3491469215
12 , 1.24070831518 , 0.833791982744 , -0.00140851967697 , 9.94494928631 , -1.2266607696 , -0.0348176514844 , 8.20418489608 , 3.1880959492 , 62.8318530718 , 15.3366122999 , 2.97623515268 , 15.3087526789
13 , 1.3394950865 , 0.82171081539 , -0.00181784834869 , 9.87867713232 , -1.20811673549 , -0.0409328671716 , 8.2353960284 , 3.27737279373 , 62.8318530718 , 8.92768445391 , 3.12111323237 , 15.279317359
14 , 1.43762857267 , 0.80979684282 , -0.0022888372803 , 9.81334861688 , -1.19139725699 , -0.0470988931607 , 8.26761217819 , 3.30115581467 , 62.8318530718 , 2.37830209341 , 3.22161497899 , 15.2600541528
15 , 1.53511758964 , 0.798033011537 , -0.00282074337261 , 9.74890169716 , -1.17638312822 , -0.053190609231 , 8.3006488423 , 3.25775985687 , 62.8318530718 , -4.33959577959 , 3.30366641125 , 15.2504966019
16 , 1.63197038366 , 0.786403375383 , -0.00341159755409 , 9.68527940153 , -1.16296361544 , -0.0590854181482 , 8.33459201303 , 3.14483610625 , 62.8318530718 , -11.2923750626 , 3.39431707229 , 15.2504982618
17 , 1.7281946609 , 0.774893030615 , -0.00405821451883 , 9.622427724 , -1.15103447683 , -0.0646616964739 , 8.36985711439 , 2.95991567644 , 62.8318530718 , -18.4920429807 , 3.52651013629 , 15.2602774187
18 , 1.82379759478 , 0.763488070035 , -0.00475619813747 , 9.56029338867 , -1.14049605794 , -0.0697983618639 , 8.40725311818 , 2.70218463483 , 62.8318530718 , -25.7731041613 , 3.73960037904 , 15.2804554034
19 , 1.91878580963 , 0.752175554026 , -0.00549997474352 , 9.49882148496 , -1.13125160096 , -0.0743776606058 , 8.44773630054 , 2.37566927195 , 62.8318530718 , -32.6515362878 , 4.04831823607 , 15.3117564064
20 , 2.01316535738 , 0.740943478673 , -0.00628290825533 , 9.43795477471 , -1.12320753526 , -0.0782933511808 , 8.4914952249 , 1.99313308521 , 62.8318530718 , -38.253618674 , 4.37589243571 , 15.3540091914
21 , 2.10694174033 , 0.729780689403 , -0.00709755926561 , 9.37763829473 , -1.11627892703 , -0.0814651010275 , 8.53731373125 , 1.57823713025 , 62.8318530718 , -41.4895954956 , 4.58185063559 , 15.4054689863
22 , 2.2001200133 , 0.718676715643 , -0.00793611903083 , 9.31782729692 , -1.11039737594 , -0.0838559765221 , 8.58405003938 , 1.16275100645 , 62.8318530718 , -41.5486123805 , 4.6736308132 , 15.4643895953
23 , 2.29270487988 , 0.707621623642 , -0.0087909660963 , 9.25848665781 , -1.10550920011 , -0.0854847065474 , 8.63168406254 , 0.778374668961 , 62.8318530718 , -38.4376337486 , 4.76340231525 , 15.5301776475
24 , 2.38470072563 , 0.69660595271 , -0.00965520034249 , 9.19958457533 , -1.10156709322 , -0.0864234246185 , 8.67975798155 , 0.448280233487 , 62.8318530718 , -33.0094435473 , 4.80739190165 , 15.6018544145
25 , 2.47611167281 , 0.685620652089 , -0.0105230103492 , 9.14109471798 , -1.09853006213 , -0.0867810006714 , 8.72766254786 , 0.184156583952 , 62.8318530718 , -26.4123649535 , 4.79045663079 , 15.678425255
26 , 2.56694163668 , 0.674657029704 , -0.0113898338416 , 9.08299638713 , -1.09636223853 , -0.0866823492428 , 8.77577283706 , -0.0113472651368 , 62.8318530718 , -19.5503849089 , 4.81102891958 , 15.760053663
27 , 2.65719432279 , 0.663706761264 , -0.0122523619756 , 9.0252686108 , -1.09502684391 , -0.0862528133986 , 8.82488927422 , -0.140467293915 , 62.8318530718 , -12.9120028778 , 4.91164371626 , 15.8474182941
28 , 2.7468731992 , 0.652761919843 , -0.0131084630821 , 8.96788764114 , -1.09448414211 , -0.0856101106533 , 8.87552816067 , -0.207086206081 , 62.8318530718 , -6.66189121666 , 5.06388864531 , 15.9409300258
29 , 2.83598148323 , 0.641814986104 , -0.0139570832514 , 8.91082840324 , -1.0946933739 , -0.0848620169283 , 8.927836432 , -0.214919732755 , 62.8318530718 , -0.783352667386 , 5.23082713264 , 16.040626067
